Year,Bangladesh,India
2000 [YR2000],86305219611,7.93E+11
2001 [YR2001],90502035009,8.33E+11
2002 [YR2002],94821818537,8.65E+11
2003 [YR2003],99328798282,9.33E+11
2004 [YR2004],1.05E+11,1.01E+12
2005 [YR2005],1.12E+11,1.09E+12
2006 [YR2006],1.21E+11,1.17E+12
2007 [YR2007],1.30E+11,1.27E+12
2008 [YR2008],1.40E+11,1.31E+12
2009 [YR2009],1.47E+11,1.41E+12
2010 [YR2010],1.55E+11,1.52E+12
2011 [YR2011],1.65E+11,1.60E+12
2012 [YR2012],1.77E+11,1.69E+12
2013 [YR2013],1.87E+11,1.79E+12
2014 [YR2014],1.95E+11,1.93E+12
2015 [YR2015],2.08E+11,2.08E+12
2016 [YR2016],2.19E+11,2.25E+12
2017 [YR2017],2.31E+11,2.41E+12
2018 [YR2018],2.49E+11,2.56E+12
2019 [YR2019],2.69E+11,2.66E+12
2020 [YR2020],2.78E+11,2.47E+12
2021 [YR2021],3.00E+11,2.69E+12